alert-octagon e81b
alert-circle e81c
activity e81d
alert-triangle e81e
align-center e81f
airplay e820
align-justify e821
align-left e822
align-right e823
arrow-down-left e824
arrow-down-right e825
anchor e826
aperture e827
arrow-left e828
arrow-right e829
arrow-down e82a
arrow-up-left e82b
arrow-up-right e82c
arrow-up e82d
award e82e
bar-chart e82f
at-sign e830
bar-chart-2 e831
battery-charging e832
bell-off e833
battery e834
bluetooth e835
bell e836
book e837
briefcase e838
camera-off e839
calendar e83a
bookmark e83b
box e83c
camera e83d
check-circle e83e
check e83f
check-square e840
cast e841
chevron-down e842
chevron-left e843
chevron-right e844
chevron-up e845
chevrons-down e846
chevrons-right e847
chevrons-up e848
chevrons-left e849
circle e84a
clipboard e84b
chrome e84c
clock e84d
cloud-lightning e84e
cloud-drizzle e84f
cloud-rain e850
cloud-off e851
codepen e852
cloud-snow e853
compass e854
copy e855
corner-down-right e856
corner-down-left e857
corner-left-down e858
corner-left-up e859
corner-up-left e85a
corner-up-right e85b
corner-right-down e85c
corner-right-up e85d
cpu e85e
credit-card e85f
crosshair e860
disc e861
delete e862
download-cloud e863
download e864
droplet e865
edit-2 e866
edit e867
edit-1 e868
external-link e869
eye e86a
feather e86b
facebook e86c
file-minus e86d
eye-off e86e
fast-forward e86f
file-text e870
film e871
file e872
file-plus e873
folder e874
filter e875
flag e876
globe e877
grid e878
heart e879
home e87a
github e87b
image e87c
inbox e87d
layers e87e
info e87f
instagram e880
layout e881
link-2 e882
life-buoy e883
link e884
log-in e885
list e886
lock e887
log-out e888
loader e889
mail e88a
maximize-2 e88b
map e88c
map-pin e88e
menu e88f
message-circle e890
message-square e891
minimize-2 e892
mic-off e893
minus-circle e894
mic e895
minus-square e896
minus e897
moon e898
monitor e899
more-vertical e89a
more-horizontal e89b
move e89c
music e89d
navigation-2 e89e
navigation e89f
octagon e8a0
package e8a1
pause-circle e8a2
pause e8a3
percent e8a4
phone-call e8a5
phone-forwarded e8a6
phone-missed e8a7
phone-off e8a8
phone-incoming e8a9
phone e8aa
phone-outgoing e8ab
pie-chart e8ac
play-circle e8ad
play e8ae
plus-square e8af
plus-circle e8b0
plus e8b1
pocket e8b2
printer e8b3
power e8b4
radio e8b5
repeat e8b6
refresh-ccw e8b7
rewind e8b8
rotate-ccw e8b9
refresh-cw e8ba
rotate-cw e8bb
save e8bc
search e8bd
server e8be
scissors e8bf
share-2 e8c0
share e8c1
shield e8c2
settings e8c3
skip-back e8c4
shuffle e8c5
sidebar e8c6
skip-forward e8c7
slack e8c8
slash e8c9
smartphone e8ca
square e8cb
speaker e8cc
star e8cd
stop-circle e8ce
sun e8cf
sunrise e8d0
tablet e8d1
tag e8d2
sunset e8d3
target e8d4
thermometer e8d5
thumbs-up e8d6
thumbs-down e8d7
toggle-left e8d8
toggle-right e8d9
trash-2 e8da
trash e8db
trending-up e8dc
trending-down e8dd
triangle e8de
type e8df
twitter e8e0
upload e8e1
umbrella e8e2
upload-cloud e8e3
unlock e8e4
user-check e8e5
user-minus e8e6
user-plus e8e7
user-x e8e8
user e8e9
users e8ea
video-off e8eb
video e8ec
voicemail e8ed
volume-x e8ee
volume-2 e8ef
volume-1 e8f0
volume e8f1
watch e8f2
wifi e8f3
x-square e8f4
wind e8f5
x e8f6
x-circle e8f7
zap e8f8
zoom-in e8f9
zoom-out e8fa
command e8fb
cloud e8fc
hash e8fd
headphones e8fe
underline e8ff
italic e900
bold e901
crop e902
help-circle e903
paperclip e904
shopping-cart e905
tv e906
wifi-off e907
minimize e88d
maximize e908
gitlab e909
sliders e90a
star-on e90b
heart-on e90c
archive e90d
arrow-down-circle e90e
arrow-up-circle e90f
arrow-left-circle e910
arrow-right-circle e911
bar-chart-line- e912
bar-chart-line e913
book-open e914
code e915
database e916
dollar-sign e917
folder-plus e918
gift e919
folder-minus e91a
git-commit e91b
git-branch e91c
git-pull-request e91d
git-merge e91e
linkedin e91f
hard-drive e920
more-vertical- e921
more-horizontal- e922
rss e923
send e924
shield-off e925
shopping-bag e926
terminal e927
truck e928
zap-off e929
youtube e92a
